Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
6,7.165165165165165,0,2,0,4,5,no trade ,0
7,7.165165165165165,0,3,0,5,5,no trade ,0
8,7.165165165165165,5,4,0,6,5,no trade ,0
9,7.165165165165165,5,2,0,5,0,-0.03477293274914806,550
10,6.33933933933934,0,4,0,5,5,no trade ,0
11,6.33933933933934,0,0,0,4,0,-0.048682105848807285,201
12,6.0375375375375375,0,0,0,3,3,-0.043048890743445305,2785
13,1.8558558558558558,0,4,0,4,5,no trade ,0
14,1.8558558558558558,5,4,0,5,5,no trade ,0
15,1.8558558558558558,5,1,0,3,5,-0.0034077474094165103,1236
0,0.0,0,2,6,4,5,no trade ,0
1,15.015015015015015,0,2,5,5,5,no trade ,0
2,15.015015015015015,0,3,4,5,5,no trade ,0
3,15.015015015015015,0,4,5,5,5,no trade ,0
4,15.015015015015015,5,7,5,5,5,no trade ,0
5,15.015015015015015,0,4,5,5,5,no trade ,0
6,15.015015015015015,0,3,4,5,5,no trade ,0
7,15.015015015015015,0,3,4,4,5,no trade ,0
8,15.015015015015015,0,3,3,3,5,no trade ,0
9,15.015015015015015,0,5,4,5,5,no trade ,0
10,15.015015015015015,5,3,6,4,0,-0.024318221295813795,1300
11,13.063063063063064,5,3,9,3,0,0.010422094841063054,1350
12,11.036036036036036,5,1,8,4,5,no trade ,0
13,11.036036036036036,0,4,8,4,5,no trade ,0
14,11.036036036036036,0,4,9,5,5,no trade ,0
15,11.036036036036036,0,5,9,4,5,0.03446239360778183,7350
0,0.0,0,1,9,5,2,-0.050057277744992544,3000
1,10.51051051051051,5,6,9,4,0,-0.024299649390773077,5041
2,2.9414414414414414,0,4,9,5,5,no trade ,0
3,2.9414414414414414,5,3,9,5,5,no trade ,0
4,2.9414414414414414,0,4,9,4,5,no trade ,0
5,2.9414414414414414,0,2,9,4,5,no trade ,0
6,2.9414414414414414,5,1,9,5,2,0.014718644773839691,1959
7,0.0,5,2,0,6,5,no trade ,0
8,0.0,5,3,0,4,0,no trade ,0
9,0.0,0,3,0,5,0,no trade ,0
10,0.0,0,3,0,4,5,no trade ,0
11,0.0,0,2,0,5,5,no trade ,0
12,0.0,5,3,0,4,5,no trade ,0
13,0.0,0,3,0,4,5,no trade ,0
14,0.0,0,4,0,4,5,no trade ,0
15,0.0,0,2,0,4,0,no trade ,0
0,0.0,0,3,9,3,5,no trade ,0
1,15.015015015015015,5,4,9,4,5,no trade ,0
2,15.015015015015015,0,4,9,6,5,no trade ,0
3,15.015015015015015,5,3,9,6,5,no trade ,0
4,15.015015015015015,0,2,8,4,0,-0.03820107657579441,600
5,14.114114114114114,0,1,8,5,3,-0.033130751866643514,2963
6,9.665165165165165,0,2,9,4,5,no trade ,0
7,9.665165165165165,0,3,8,5,5,no trade ,0
8,9.665165165165165,0,3,9,4,5,no trade ,0
9,9.665165165165165,0,3,9,5,5,no trade ,0
10,9.665165165165165,0,4,9,5,5,no trade ,0
11,9.665165165165165,0,4,9,4,5,no trade ,0
12,9.665165165165165,0,3,9,5,5,no trade ,0
13,9.665165165165165,0,2,8,3,5,no trade ,0
14,9.665165165165165,0,3,9,4,0,-0.017364125716270183,550
15,8.83933933933934,0,3,9,5,5,0.018267060253516234,5887
0,0.0,0,2,8,3,5,no trade ,0
1,15.015015015015015,0,3,6,5,5,no trade ,0
2,15.015015015015015,0,1,5,5,5,no trade ,0
3,15.015015015015015,5,2,6,4,5,no trade ,0
4,15.015015015015015,5,2,4,5,5,no trade ,0
5,15.015015015015015,0,2,6,4,5,no trade ,0
6,15.015015015015015,0,3,7,4,5,no trade ,0
7,15.015015015015015,0,2,3,5,5,no trade ,0
8,15.015015015015015,5,0,0,5,3,-0.037122002085505736,3325
9,10.022522522522523,0,5,3,5,5,no trade ,0
10,10.022522522522523,0,3,5,5,5,no trade ,0
11,10.022522522522523,0,4,5,5,5,no trade ,0
12,10.022522522522523,0,2,4,3,5,no trade ,0
13,10.022522522522523,0,2,3,4,5,no trade ,0
14,10.022522522522523,5,1,5,5,5,no trade ,0
15,10.022522522522523,0,5,6,4,5,0.03948557525199861,6675
0,0.0,0,1,4,5,5,no trade ,0
1,15.015015015015015,0,1,2,5,0,0.010431517090302166,400
2,14.414414414414415,0,2,0,5,0,-0.010431517090302166,100
3,14.264264264264265,0,4,1,4,0,-0.0034771723634340556,499
4,13.515015015015015,5,1,1,5,3,0.015786362529990612,2810
5,9.295795795795796,0,3,3,4,5,no trade ,0
6,9.295795795795796,0,3,4,5,5,no trade ,0
7,9.295795795795796,5,2,5,5,0,0.04520324072464272,407
8,8.684684684684685,5,4,6,6,5,no trade ,0
9,8.684684684684685,0,3,4,4,5,no trade ,0
10,8.684684684684685,0,0,4,5,0,0.03824889599777461,300
11,8.234234234234235,0,0,4,4,0,0.03824889599777461,700
12,7.183183183183183,5,3,4,4,0,0.04520324072464272,930
13,5.786786786786787,5,1,4,5,3,0.054939323342258074,3050
14,1.2072072072072073,0,3,1,4,5,no trade ,0
15,1.2072072072072073,0,0,0,4,2,-0.00869293090858514,804
0,0.0,0,0,0,5,0,-0.0034781398907864076,800
1,13.813813813813814,0,1,0,4,3,0.0005565023825258252,2996
2,9.315315315315315,0,3,2,4,5,no trade ,0
3,9.315315315315315,0,4,1,4,3,0.04278112065667281,3066
4,4.711711711711712,0,3,2,5,0,0.05217209836179611,300
5,4.261261261261262,5,2,0,5,0,0.031303259017077666,949
6,2.8363363363363363,0,3,0,5,5,no trade ,0
7,2.8363363363363363,0,5,0,4,0,0.010434419672359222,414
8,2.214714714714715,0,4,0,4,5,no trade ,0
9,2.214714714714715,0,5,0,5,5,no trade ,0
10,2.214714714714715,0,4,0,4,0,0.0034781398907864076,400
11,1.6141141141141142,5,1,0,5,5,no trade ,0
